prompt,category,normal_clusters,normal_entropy,misrouted_clusters,misrouted_entropy,top1_clusters,top1_entropy,diff_normal_misrouted,diff_normal_top1,diff_misrouted_top1
Who was the CEO of Google in 1895?,unanswerable,1,0.0,6,1.6094,1,0.0,1.6094,0.0,-1.6094
What was Apple's stock price in 1823?,unanswerable,1,0.0,5,1.3592,1,0.0,1.3592,0.0,-1.3592
Who won the FIFA World Cup in 1823?,unanswerable,1,0.0,4,1.1683,1,0.0,1.1683,0.0,-1.1683
What was the most popular smartphone app in 1776?,unanswerable,2,0.3251,6,1.6957,2,0.3251,1.3707,0.0,-1.3707
Who was the Prime Minister of the UK in 1200?,unanswerable,3,0.639,8,2.0253,3,0.639,1.3863,0.0,-1.3863
What was Tesla's market capitalisation in 1650?,unanswerable,2,0.5004,5,1.2275,1,0.0,0.7271,-0.5004,-1.2275
Who was the first person to send an email in 1066?,unanswerable,1,0.0,4,1.2799,1,0.0,1.2799,0.0,-1.2799
What was the GDP of the United States in 1300?,unanswerable,2,0.5004,4,1.1935,2,0.5004,0.6931,0.0,-0.6931
Who founded Amazon in 1492?,unanswerable,1,0.0,3,0.639,1,0.0,0.639,0.0,-0.639
What was the most watched YouTube video in 1800?,unanswerable,1,0.0,6,1.4979,2,0.6109,1.4979,0.6109,-0.887
Who was the President of the United States in 1200?,unanswerable,1,0.0,7,1.8867,1,0.0,1.8867,0.0,-1.8867
What was the top-selling video game in 1750?,unanswerable,2,0.3251,8,1.973,2,0.3251,1.6479,0.0,-1.6479
Who was the CEO of Microsoft in 1776?,unanswerable,1,0.0,4,0.9404,1,0.0,0.9404,0.0,-0.9404
What was the internet download speed record in 1850?,unanswerable,1,0.0,7,1.7481,1,0.0,1.7481,0.0,-1.7481
Who won the Nobel Prize in Physics in 1650?,unanswerable,1,0.0,4,1.1935,2,0.3251,1.1935,0.3251,-0.8685
What was the population of New York City in 800 AD?,unanswerable,2,0.6109,6,1.6434,2,0.3251,1.0326,-0.2858,-1.3183
